technology,country,experience_years,salary_usd,company_size,salary_idr
MongoDB,Thailand,10,92866,Medium,1392990000
Express.js,Thailand,10,92866,Medium,1392990000
React,Thailand,10,92866,Medium,1392990000
Kubernetes,Thailand,10,92866,Medium,1392990000
C#,Thailand,10,92866,Medium,1392990000
C#,Singapore,3,104393,Small,1565895000
Django,Singapore,3,104393,Small,1565895000
Express.js,Singapore,3,104393,Small,1565895000
Java,Singapore,3,104393,Small,1565895000
Docker,Singapore,3,104393,Small,1565895000
Vue.js,Singapore,3,104393,Small,1565895000
JavaScript,Singapore,11,95608,Large,1434120000
Express.js,Singapore,11,95608,Large,1434120000
TypeScript,Singapore,11,95608,Large,1434120000
Java,Singapore,11,95608,Large,1434120000
PostgreSQL,Singapore,11,95608,Large,1434120000
Laravel,Singapore,11,95608,Large,1434120000
Node.js,Singapore,11,95608,Large,1434120000
PHP,Malaysia,14,100583,Medium,1508745000
C++,Malaysia,14,100583,Medium,1508745000
Express.js,Malaysia,14,100583,Medium,1508745000
C#,Malaysia,14,100583,Medium,1508745000
Kubernetes,Malaysia,14,100583,Medium,1508745000
MongoDB,Thailand,6,99942,Small,1499130000
PHP,Thailand,6,99942,Small,1499130000
Kubernetes,Thailand,6,99942,Small,1499130000
Express.js,Thailand,6,99942,Small,1499130000
Azure,Thailand,6,99942,Small,1499130000
Linux,Malaysia,8,102816,Small,1542240000
Express.js,Malaysia,8,102816,Small,1542240000
Java,Malaysia,8,102816,Small,1542240000
Vue.js,Malaysia,8,102816,Small,1542240000
C++,Malaysia,8,102816,Small,1542240000
Java,Indonesia,15,115491,Medium,1732365000
PHP,Indonesia,15,115491,Medium,1732365000
Azure,Indonesia,15,115491,Medium,1732365000
PostgreSQL,Indonesia,15,115491,Medium,1732365000
Spring Boot,Indonesia,15,115491,Medium,1732365000
AWS,Singapore,11,117052,Small,1755780000
Django,Singapore,11,117052,Small,1755780000
Python,Singapore,11,117052,Small,1755780000
React,Singapore,11,117052,Small,1755780000
TypeScript,Singapore,11,117052,Small,1755780000
PHP,Singapore,11,117052,Small,1755780000
Django,Thailand,13,43051,Large,645765000
Spring Boot,Thailand,13,43051,Large,645765000
Linux,Thailand,13,43051,Large,645765000
JavaScript,Thailand,13,43051,Large,645765000
C++,Thailand,13,43051,Large,645765000
Vue.js,Thailand,13,43051,Large,645765000
MongoDB,Thailand,13,43051,Large,645765000
MySQL,Indonesia,5,107586,Small,1613790000
Docker,Indonesia,5,107586,Small,1613790000
TypeScript,Indonesia,5,107586,Small,1613790000
PostgreSQL,Indonesia,5,107586,Small,1613790000
C#,Singapore,5,108026,Medium,1620390000
Vue.js,Singapore,5,108026,Medium,1620390000
AWS,Singapore,5,108026,Medium,1620390000
Spring Boot,Singapore,5,108026,Medium,1620390000
C++,Malaysia,2,32058,Small,480870000
AWS,Malaysia,2,32058,Small,480870000
Kubernetes,Malaysia,2,32058,Small,480870000
MySQL,Malaysia,2,32058,Small,480870000
React,Malaysia,2,32058,Small,480870000
Spring Boot,Malaysia,2,32058,Small,480870000
Laravel,Malaysia,2,32058,Small,480870000
Java,Malaysia,2,32058,Small,480870000
Spring Boot,Indonesia,1,52613,Large,789195000
JavaScript,Indonesia,1,52613,Large,789195000
Docker,Indonesia,1,52613,Large,789195000
Node.js,Indonesia,1,52613,Large,789195000
Laravel,Malaysia,8,80885,Large,1213275000
Angular,Malaysia,8,80885,Large,1213275000
Azure,Malaysia,8,80885,Large,1213275000
Express.js,Malaysia,8,80885,Large,1213275000
MongoDB,Malaysia,8,80885,Large,1213275000
Angular,Indonesia,8,57008,Large,855120000
Python,Indonesia,8,57008,Large,855120000
Laravel,Indonesia,8,57008,Large,855120000
C#,Indonesia,8,57008,Large,855120000
MySQL,Indonesia,8,57008,Large,855120000
C++,Indonesia,8,57008,Large,855120000
Java,Indonesia,8,57008,Large,855120000
PHP,Thailand,3,93819,Small,1407285000
Kubernetes,Thailand,3,93819,Small,1407285000
Azure,Thailand,3,93819,Small,1407285000
JavaScript,Thailand,3,93819,Small,1407285000
Django,Thailand,3,93819,Small,1407285000
Angular,Thailand,3,93819,Small,1407285000
Git,Thailand,3,93819,Small,1407285000
C#,Thailand,3,93819,Small,1407285000
Linux,Singapore,6,15125,Large,226875000
Azure,Singapore,6,15125,Large,226875000
Node.js,Singapore,6,15125,Large,226875000
Java,Singapore,6,15125,Large,226875000
PHP,Singapore,6,15125,Large,226875000
PostgreSQL,Malaysia,2,46303,Medium,694545000
Java,Malaysia,2,46303,Medium,694545000
Docker,Malaysia,2,46303,Medium,694545000
PHP,Malaysia,2,46303,Medium,694545000
C#,Malaysia,2,46303,Medium,694545000
Angular,Malaysia,2,46303,Medium,694545000
React,Singapore,13,82553,Medium,1238295000
Vue.js,Singapore,13,82553,Medium,1238295000
AWS,Singapore,13,82553,Medium,1238295000
Python,Singapore,13,82553,Medium,1238295000
MongoDB,Singapore,13,82553,Medium,1238295000
Angular,Singapore,13,82553,Medium,1238295000
Kubernetes,Thailand,13,57851,Medium,867765000
C#,Thailand,13,57851,Medium,867765000
Java,Thailand,13,57851,Medium,867765000
TypeScript,Thailand,13,57851,Medium,867765000
React,Thailand,13,57851,Medium,867765000
Django,Indonesia,6,107079,Small,1606185000
Azure,Indonesia,6,107079,Small,1606185000
React,Indonesia,6,107079,Small,1606185000
AWS,Indonesia,6,107079,Small,1606185000
Python,Indonesia,6,107079,Small,1606185000
Node.js,Singapore,9,75498,Small,1132470000
C++,Singapore,9,75498,Small,1132470000
Git,Singapore,9,75498,Small,1132470000
Laravel,Singapore,9,75498,Small,1132470000
Python,Singapore,9,75498,Small,1132470000
PostgreSQL,Singapore,9,75498,Small,1132470000
TypeScript,Singapore,9,75498,Small,1132470000
Docker,Singapore,9,75498,Small,1132470000
AWS,Malaysia,14,38434,Medium,576510000
MongoDB,Malaysia,14,38434,Medium,576510000
React,Malaysia,14,38434,Medium,576510000
MySQL,Malaysia,14,38434,Medium,576510000
PostgreSQL,Malaysia,14,38434,Medium,576510000
JavaScript,Thailand,2,82675,Small,1240125000
AWS,Thailand,2,82675,Small,1240125000
Linux,Thailand,2,82675,Small,1240125000
MongoDB,Thailand,2,82675,Small,1240125000
Kubernetes,Thailand,2,82675,Small,1240125000
Express.js,Indonesia,11,68634,Medium,1029510000
Django,Indonesia,11,68634,Medium,1029510000
MySQL,Indonesia,11,68634,Medium,1029510000
JavaScript,Indonesia,11,68634,Medium,1029510000
React,Indonesia,11,68634,Medium,1029510000
Node.js,Singapore,3,85127,Large,1276905000
TypeScript,Singapore,3,85127,Large,1276905000
Java,Singapore,3,85127,Large,1276905000
Spring Boot,Singapore,3,85127,Large,1276905000
Laravel,Singapore,3,85127,Large,1276905000
Django,Singapore,3,85127,Large,1276905000
AWS,Singapore,3,85127,Large,1276905000
C#,Indonesia,9,47363,Medium,710445000
Angular,Indonesia,9,47363,Medium,710445000
MongoDB,Indonesia,9,47363,Medium,710445000
React,Indonesia,11,31322,Medium,469830000
C++,Indonesia,11,31322,Medium,469830000
MySQL,Indonesia,11,31322,Medium,469830000
Git,Indonesia,11,31322,Medium,469830000
JavaScript,Indonesia,11,31322,Medium,469830000
Node.js,Indonesia,11,31322,Medium,469830000
Java,Indonesia,11,31322,Medium,469830000
Kubernetes,Malaysia,14,100027,Medium,1500405000
Azure,Malaysia,14,100027,Medium,1500405000
Express.js,Malaysia,14,100027,Medium,1500405000
Django,Malaysia,14,100027,Medium,1500405000
JavaScript,Malaysia,14,100027,Medium,1500405000
Node.js,Malaysia,14,100027,Medium,1500405000
C#,Malaysia,15,63384,Small,950760000
Docker,Malaysia,15,63384,Small,950760000
Azure,Malaysia,15,63384,Small,950760000
Laravel,Malaysia,15,63384,Small,950760000
Django,Malaysia,15,63384,Small,950760000
Django,Malaysia,6,46334,Medium,695010000
PHP,Malaysia,6,46334,Medium,695010000
Linux,Malaysia,6,46334,Medium,695010000
Laravel,Indonesia,6,75404,Large,1131060000
Vue.js,Indonesia,6,75404,Large,1131060000
Spring Boot,Indonesia,6,75404,Large,1131060000
Django,Indonesia,6,75404,Large,1131060000
Laravel,Malaysia,10,89035,Large,1335525000
Linux,Malaysia,10,89035,Large,1335525000
Django,Malaysia,10,89035,Large,1335525000
TypeScript,Malaysia,10,89035,Large,1335525000
MySQL,Malaysia,10,89035,Large,1335525000
Git,Malaysia,10,89035,Large,1335525000
Express.js,Malaysia,10,89035,Large,1335525000
JavaScript,Malaysia,10,89035,Large,1335525000
PHP,Singapore,14,77412,Medium,1161180000
Django,Singapore,14,77412,Medium,1161180000
React,Singapore,14,77412,Medium,1161180000
Docker,Singapore,14,77412,Medium,1161180000
Spring Boot,Singapore,14,77412,Medium,1161180000
AWS,Singapore,14,77412,Medium,1161180000
MongoDB,Singapore,14,77412,Medium,1161180000
Express.js,Singapore,14,77412,Medium,1161180000
Linux,Indonesia,11,69809,Small,1047135000
Laravel,Indonesia,11,69809,Small,1047135000
AWS,Indonesia,11,69809,Small,1047135000
Java,Indonesia,11,69809,Small,1047135000
Azure,Indonesia,11,69809,Small,1047135000
Express.js,Indonesia,11,69809,Small,1047135000
MySQL,Indonesia,11,69809,Small,1047135000
TypeScript,Indonesia,11,62897,Large,943455000
Python,Indonesia,11,62897,Large,943455000
JavaScript,Indonesia,11,62897,Large,943455000
Java,Indonesia,11,62897,Large,943455000
C#,Indonesia,11,62897,Large,943455000
MongoDB,Indonesia,11,62897,Large,943455000
Kubernetes,Indonesia,11,62897,Large,943455000
Linux,Indonesia,11,119955,Small,1799325000
MongoDB,Indonesia,11,119955,Small,1799325000
Laravel,Indonesia,11,119955,Small,1799325000
PostgreSQL,Indonesia,11,119955,Small,1799325000
Python,Indonesia,11,119955,Small,1799325000
Java,Thailand,12,73701,Large,1105515000
Azure,Thailand,12,73701,Large,1105515000
MongoDB,Thailand,12,73701,Large,1105515000
Spring Boot,Thailand,12,73701,Large,1105515000
PostgreSQL,Thailand,12,73701,Large,1105515000
Python,Singapore,12,69146,Medium,1037190000
Docker,Singapore,12,69146,Medium,1037190000
AWS,Singapore,12,69146,Medium,1037190000
C#,Singapore,12,69146,Medium,1037190000
Kubernetes,Singapore,12,69146,Medium,1037190000
Java,Singapore,12,69146,Medium,1037190000
C++,Singapore,12,69146,Medium,1037190000
Kubernetes,Indonesia,8,19562,Medium,293430000
Laravel,Indonesia,8,19562,Medium,293430000
Azure,Indonesia,8,19562,Medium,293430000
PHP,Indonesia,8,19562,Medium,293430000
PostgreSQL,Indonesia,8,19562,Medium,293430000
Python,Indonesia,8,19562,Medium,293430000
Git,Indonesia,8,19562,Medium,293430000
C++,Malaysia,13,104500,Medium,1567500000
Git,Malaysia,13,104500,Medium,1567500000
React,Malaysia,13,104500,Medium,1567500000
C#,Malaysia,13,104500,Medium,1567500000
JavaScript,Malaysia,13,104500,Medium,1567500000
Django,Thailand,1,34004,Large,510060000
Java,Thailand,1,34004,Large,510060000
Git,Thailand,1,34004,Large,510060000
MongoDB,Thailand,1,34004,Large,510060000
Python,Thailand,1,34004,Large,510060000
C#,Thailand,10,48719,Medium,730785000
Django,Thailand,10,48719,Medium,730785000
Docker,Thailand,10,48719,Medium,730785000
Kubernetes,Thailand,10,48719,Medium,730785000
Azure,Thailand,10,48719,Medium,730785000
PHP,Thailand,10,48719,Medium,730785000
JavaScript,Thailand,10,48719,Medium,730785000
Linux,Thailand,10,48719,Medium,730785000
Vue.js,Singapore,6,29231,Medium,438465000
C++,Singapore,6,29231,Medium,438465000
Azure,Singapore,6,29231,Medium,438465000
Angular,Singapore,6,29231,Medium,438465000
MySQL,Singapore,6,29231,Medium,438465000
Node.js,Singapore,6,29231,Medium,438465000
JavaScript,Singapore,6,29231,Medium,438465000
Python,Thailand,11,38534,Large,578010000
Node.js,Thailand,11,38534,Large,578010000
Git,Thailand,11,38534,Large,578010000
Spring Boot,Thailand,11,38534,Large,578010000
Azure,Thailand,11,38534,Large,578010000
Kubernetes,Thailand,10,21532,Large,322980000
Django,Thailand,10,21532,Large,322980000
Docker,Thailand,10,21532,Large,322980000
JavaScript,Thailand,10,21532,Large,322980000
AWS,Thailand,10,21532,Large,322980000
Vue.js,Thailand,10,21532,Large,322980000
Spring Boot,Thailand,10,21532,Large,322980000
React,Thailand,4,33258,Large,498870000
Angular,Thailand,4,33258,Large,498870000
Express.js,Thailand,4,33258,Large,498870000
C++,Singapore,5,49388,Medium,740820000
AWS,Singapore,5,49388,Medium,740820000
Docker,Singapore,5,49388,Medium,740820000
Spring Boot,Singapore,5,49388,Medium,740820000
Laravel,Singapore,5,49388,Medium,740820000
JavaScript,Singapore,5,49388,Medium,740820000
Kubernetes,Singapore,5,22954,Large,344310000
Linux,Singapore,5,22954,Large,344310000
Git,Singapore,5,22954,Large,344310000
MySQL,Singapore,5,22954,Large,344310000
React,Singapore,5,22954,Large,344310000
TypeScript,Singapore,5,22954,Large,344310000
Express.js,Thailand,9,59850,Large,897750000
Angular,Thailand,9,59850,Large,897750000
Azure,Thailand,9,59850,Large,897750000
Node.js,Thailand,9,59850,Large,897750000
Express.js,Singapore,12,71827,Small,1077405000
TypeScript,Singapore,12,71827,Small,1077405000
Django,Singapore,12,71827,Small,1077405000
Kubernetes,Singapore,12,71827,Small,1077405000
Linux,Singapore,12,71827,Small,1077405000
Angular,Singapore,12,71827,Small,1077405000
Docker,Singapore,8,18492,Medium,277380000
AWS,Singapore,8,18492,Medium,277380000
Spring Boot,Singapore,8,18492,Medium,277380000
C++,Singapore,8,18492,Medium,277380000
Azure,Singapore,8,18492,Medium,277380000
Express.js,Singapore,2,75236,Medium,1128540000
TypeScript,Singapore,2,75236,Medium,1128540000
Python,Singapore,2,75236,Medium,1128540000
JavaScript,Indonesia,9,49280,Medium,739200000
Laravel,Indonesia,9,49280,Medium,739200000
C#,Indonesia,9,49280,Medium,739200000
C++,Indonesia,9,49280,Medium,739200000
C++,Singapore,6,45436,Small,681540000
React,Singapore,6,45436,Small,681540000
Vue.js,Singapore,6,45436,Small,681540000
Laravel,Singapore,6,45436,Small,681540000
Azure,Indonesia,4,32086,Medium,481290000
Laravel,Indonesia,4,32086,Medium,481290000
Linux,Indonesia,4,32086,Medium,481290000
Angular,Indonesia,11,56370,Large,845550000
AWS,Indonesia,11,56370,Large,845550000
Kubernetes,Indonesia,11,56370,Large,845550000
Docker,Indonesia,11,56370,Large,845550000
MySQL,Indonesia,11,56370,Large,845550000
Linux,Indonesia,11,56370,Large,845550000
Python,Malaysia,14,24120,Medium,361800000
Linux,Malaysia,14,24120,Medium,361800000
Kubernetes,Malaysia,14,24120,Medium,361800000
Spring Boot,Malaysia,14,24120,Medium,361800000
Node.js,Malaysia,14,24120,Medium,361800000
TypeScript,Malaysia,14,24120,Medium,361800000
Laravel,Malaysia,14,24120,Medium,361800000
MySQL,Malaysia,14,24120,Medium,361800000
Azure,Malaysia,11,55543,Large,833145000
C#,Malaysia,11,55543,Large,833145000
Spring Boot,Malaysia,11,55543,Large,833145000
Git,Malaysia,11,55543,Large,833145000
Linux,Malaysia,11,55543,Large,833145000
PHP,Malaysia,11,90430,Medium,1356450000
Azure,Malaysia,11,90430,Medium,1356450000
Linux,Malaysia,11,90430,Medium,1356450000
PostgreSQL,Singapore,3,20228,Medium,303420000
MongoDB,Singapore,3,20228,Medium,303420000
Linux,Singapore,3,20228,Medium,303420000
C++,Singapore,3,20228,Medium,303420000
Django,Singapore,3,20228,Medium,303420000
TypeScript,Singapore,3,20228,Medium,303420000
PostgreSQL,Malaysia,3,64766,Large,971490000
PHP,Malaysia,3,64766,Large,971490000
MongoDB,Malaysia,3,64766,Large,971490000
Spring Boot,Malaysia,3,64766,Large,971490000
Docker,Malaysia,3,64766,Large,971490000
Azure,Singapore,1,107232,Large,1608480000
AWS,Singapore,1,107232,Large,1608480000
Git,Singapore,1,107232,Large,1608480000
Docker,Singapore,1,107232,Large,1608480000
JavaScript,Singapore,1,107232,Large,1608480000
Django,Singapore,1,107232,Large,1608480000
PostgreSQL,Singapore,1,107232,Large,1608480000
Django,Thailand,2,29692,Medium,445380000
PostgreSQL,Thailand,2,29692,Medium,445380000
Angular,Thailand,2,29692,Medium,445380000
Docker,Thailand,2,29692,Medium,445380000
C++,Thailand,2,29692,Medium,445380000
Python,Thailand,15,15134,Large,227010000
Laravel,Thailand,15,15134,Large,227010000
Linux,Thailand,15,15134,Large,227010000
Django,Thailand,15,15134,Large,227010000
Kubernetes,Thailand,15,15134,Large,227010000
PHP,Thailand,15,15134,Large,227010000
MongoDB,Thailand,15,15134,Large,227010000
Python,Malaysia,13,65590,Medium,983850000
PostgreSQL,Malaysia,13,65590,Medium,983850000
Vue.js,Malaysia,13,65590,Medium,983850000
PHP,Malaysia,13,65590,Medium,983850000
React,Malaysia,13,65590,Medium,983850000
Git,Thailand,12,59976,Medium,899640000
JavaScript,Thailand,12,59976,Medium,899640000
React,Thailand,12,59976,Medium,899640000
Spring Boot,Thailand,12,59976,Medium,899640000
Azure,Thailand,12,59976,Medium,899640000
PostgreSQL,Indonesia,3,94473,Medium,1417095000
Linux,Indonesia,3,94473,Medium,1417095000
Express.js,Indonesia,3,94473,Medium,1417095000
Java,Indonesia,14,51115,Medium,766725000
TypeScript,Indonesia,14,51115,Medium,766725000
Express.js,Indonesia,14,51115,Medium,766725000
Python,Indonesia,14,51115,Medium,766725000
C#,Indonesia,14,51115,Medium,766725000
AWS,Indonesia,14,51115,Medium,766725000
MongoDB,Indonesia,14,51115,Medium,766725000
Kubernetes,Indonesia,14,51115,Medium,766725000
JavaScript,Thailand,2,71825,Medium,1077375000
Kubernetes,Thailand,2,71825,Medium,1077375000
Express.js,Thailand,2,71825,Medium,1077375000
Linux,Thailand,2,71825,Medium,1077375000
Python,Thailand,2,71825,Medium,1077375000
C#,Thailand,2,71825,Medium,1077375000
Angular,Thailand,2,71825,Medium,1077375000
C++,Thailand,2,71825,Medium,1077375000
Laravel,Singapore,6,76275,Large,1144125000
Kubernetes,Singapore,6,76275,Large,1144125000
C#,Singapore,6,76275,Large,1144125000
Django,Malaysia,15,43271,Medium,649065000
Laravel,Malaysia,15,43271,Medium,649065000
TypeScript,Malaysia,15,43271,Medium,649065000
Vue.js,Malaysia,15,43271,Medium,649065000
C#,Malaysia,15,43271,Medium,649065000
MySQL,Malaysia,15,43271,Medium,649065000
Kubernetes,Malaysia,15,43271,Medium,649065000
Git,Malaysia,7,75019,Small,1125285000
AWS,Malaysia,7,75019,Small,1125285000
Python,Malaysia,7,75019,Small,1125285000
C++,Malaysia,7,75019,Small,1125285000
PostgreSQL,Malaysia,7,75019,Small,1125285000
Angular,Singapore,6,103801,Large,1557015000
Laravel,Singapore,6,103801,Large,1557015000
PostgreSQL,Singapore,6,103801,Large,1557015000
Java,Indonesia,7,114056,Small,1710840000
Docker,Indonesia,7,114056,Small,1710840000
Django,Indonesia,7,114056,Small,1710840000
C++,Indonesia,7,114056,Small,1710840000
AWS,Indonesia,7,114056,Small,1710840000
Node.js,Indonesia,7,114056,Small,1710840000
Angular,Indonesia,4,33430,Large,501450000
PostgreSQL,Indonesia,4,33430,Large,501450000
JavaScript,Indonesia,4,33430,Large,501450000
PHP,Indonesia,4,33430,Large,501450000
Python,Indonesia,4,33430,Large,501450000
Express.js,Indonesia,4,33430,Large,501450000
TypeScript,Indonesia,4,33430,Large,501450000
Express.js,Malaysia,11,16476,Large,247140000
C++,Malaysia,11,16476,Large,247140000
TypeScript,Malaysia,11,16476,Large,247140000
Linux,Malaysia,11,16476,Large,247140000
Kubernetes,Malaysia,9,28344,Large,425160000
Java,Malaysia,9,28344,Large,425160000
MySQL,Malaysia,9,28344,Large,425160000
AWS,Malaysia,9,28344,Large,425160000
Laravel,Malaysia,9,28344,Large,425160000
PostgreSQL,Malaysia,9,28344,Large,425160000
MongoDB,Malaysia,9,28344,Large,425160000
Azure,Malaysia,9,28344,Large,425160000
Java,Malaysia,14,86629,Medium,1299435000
Django,Malaysia,14,86629,Medium,1299435000
Laravel,Malaysia,14,86629,Medium,1299435000
JavaScript,Singapore,12,46146,Medium,692190000
Docker,Singapore,12,46146,Medium,692190000
Spring Boot,Singapore,12,46146,Medium,692190000
Linux,Singapore,12,46146,Medium,692190000
Vue.js,Singapore,12,46146,Medium,692190000
Laravel,Malaysia,11,61976,Medium,929640000
PHP,Malaysia,11,61976,Medium,929640000
Docker,Malaysia,11,61976,Medium,929640000
C++,Malaysia,11,61976,Medium,929640000
Docker,Malaysia,13,20747,Large,311205000
Python,Malaysia,13,20747,Large,311205000
Java,Malaysia,13,20747,Large,311205000
TypeScript,Malaysia,13,20747,Large,311205000
PostgreSQL,Malaysia,13,20747,Large,311205000
JavaScript,Malaysia,7,52894,Large,793410000
Git,Malaysia,7,52894,Large,793410000
C++,Malaysia,7,52894,Large,793410000
Vue.js,Malaysia,7,52894,Large,793410000
PostgreSQL,Malaysia,7,52894,Large,793410000
Linux,Malaysia,7,52894,Large,793410000
C#,Thailand,5,72488,Large,1087320000
C++,Thailand,5,72488,Large,1087320000
Vue.js,Thailand,5,72488,Large,1087320000
Express.js,Thailand,5,72488,Large,1087320000
Node.js,Thailand,5,72488,Large,1087320000
C#,Indonesia,2,69414,Small,1041210000
Spring Boot,Indonesia,2,69414,Small,1041210000
Angular,Indonesia,2,69414,Small,1041210000
TypeScript,Indonesia,2,69414,Small,1041210000
Node.js,Indonesia,2,69414,Small,1041210000
Express.js,Indonesia,2,69414,Small,1041210000
MongoDB,Indonesia,2,69414,Small,1041210000
Laravel,Indonesia,2,69414,Small,1041210000
Angular,Malaysia,3,26931,Large,403965000
Java,Malaysia,3,26931,Large,403965000
MongoDB,Malaysia,3,26931,Large,403965000
Kubernetes,Malaysia,3,26931,Large,403965000
PostgreSQL,Singapore,6,49757,Medium,746355000
Laravel,Singapore,6,49757,Medium,746355000
JavaScript,Singapore,6,49757,Medium,746355000
Vue.js,Singapore,6,49757,Medium,746355000
PHP,Malaysia,13,21513,Small,322695000
Git,Malaysia,13,21513,Small,322695000
Laravel,Malaysia,13,21513,Small,322695000
C#,Malaysia,13,21513,Small,322695000
C#,Singapore,10,30405,Medium,456075000
Vue.js,Singapore,10,30405,Medium,456075000
Laravel,Singapore,10,30405,Medium,456075000
Linux,Malaysia,14,101060,Small,1515900000
PHP,Malaysia,14,101060,Small,1515900000
Node.js,Malaysia,14,101060,Small,1515900000
Laravel,Malaysia,14,101060,Small,1515900000
Docker,Malaysia,14,101060,Small,1515900000
C#,Indonesia,8,96669,Medium,1450035000
MySQL,Indonesia,8,96669,Medium,1450035000
React,Indonesia,8,96669,Medium,1450035000
TypeScript,Indonesia,8,96669,Medium,1450035000
MongoDB,Indonesia,8,96669,Medium,1450035000
C++,Indonesia,8,96669,Medium,1450035000
Spring Boot,Indonesia,8,96669,Medium,1450035000
React,Thailand,13,27095,Medium,406425000
MongoDB,Thailand,13,27095,Medium,406425000
C++,Thailand,13,27095,Medium,406425000
Git,Thailand,13,27095,Medium,406425000
Azure,Singapore,1,65742,Small,986130000
JavaScript,Singapore,1,65742,Small,986130000
React,Singapore,1,65742,Small,986130000
Kubernetes,Singapore,1,65742,Small,986130000
Angular,Malaysia,8,25536,Small,383040000
Java,Malaysia,8,25536,Small,383040000
MongoDB,Malaysia,8,25536,Small,383040000
C#,Malaysia,8,25536,Small,383040000
Vue.js,Malaysia,8,25536,Small,383040000
AWS,Malaysia,8,25536,Small,383040000
React,Indonesia,13,36080,Medium,541200000
C#,Indonesia,13,36080,Medium,541200000
Linux,Indonesia,13,36080,Medium,541200000
Git,Indonesia,13,36080,Medium,541200000
Azure,Indonesia,13,36080,Medium,541200000
JavaScript,Indonesia,13,36080,Medium,541200000
Linux,Singapore,6,77355,Medium,1160325000
C#,Singapore,6,77355,Medium,1160325000
PHP,Singapore,6,77355,Medium,1160325000
Spring Boot,Singapore,6,77355,Medium,1160325000
AWS,Singapore,6,77355,Medium,1160325000
MongoDB,Singapore,6,77355,Medium,1160325000
Git,Singapore,6,77355,Medium,1160325000
Node.js,Singapore,6,77355,Medium,1160325000
Git,Singapore,6,97062,Medium,1455930000
Node.js,Singapore,6,97062,Medium,1455930000
Kubernetes,Singapore,6,97062,Medium,1455930000
Laravel,Singapore,6,97062,Medium,1455930000
AWS,Thailand,12,65113,Small,976695000
Laravel,Thailand,12,65113,Small,976695000
Spring Boot,Thailand,12,65113,Small,976695000
Django,Thailand,12,65113,Small,976695000
Python,Thailand,12,65113,Small,976695000
Docker,Thailand,12,65113,Small,976695000
Azure,Indonesia,3,103258,Medium,1548870000
Express.js,Indonesia,3,103258,Medium,1548870000
C++,Indonesia,3,103258,Medium,1548870000
React,Indonesia,3,103258,Medium,1548870000
MySQL,Indonesia,3,103258,Medium,1548870000
Django,Indonesia,3,103258,Medium,1548870000
MongoDB,Indonesia,3,103258,Medium,1548870000
PHP,Indonesia,10,96486,Small,1447290000
Spring Boot,Indonesia,10,96486,Small,1447290000
Linux,Indonesia,10,96486,Small,1447290000
Azure,Indonesia,10,96486,Small,1447290000
Kubernetes,Singapore,8,106030,Large,1590450000
MongoDB,Singapore,8,106030,Large,1590450000
PHP,Singapore,8,106030,Large,1590450000
MySQL,Singapore,8,106030,Large,1590450000
Django,Singapore,8,106030,Large,1590450000
PostgreSQL,Singapore,8,106030,Large,1590450000
Java,Thailand,2,67583,Medium,1013745000
TypeScript,Thailand,2,67583,Medium,1013745000
Django,Thailand,2,67583,Medium,1013745000
Spring Boot,Thailand,2,67583,Medium,1013745000
AWS,Thailand,2,67583,Medium,1013745000
C#,Thailand,2,67583,Medium,1013745000
Python,Thailand,2,67583,Medium,1013745000
MySQL,Thailand,2,67583,Medium,1013745000
C++,Malaysia,14,50628,Large,759420000
React,Malaysia,14,50628,Large,759420000
PostgreSQL,Malaysia,14,50628,Large,759420000
C#,Thailand,6,70214,Small,1053210000
Linux,Thailand,6,70214,Small,1053210000
Node.js,Thailand,6,70214,Small,1053210000
Spring Boot,Thailand,6,70214,Small,1053210000
Express.js,Thailand,6,70214,Small,1053210000
Spring Boot,Singapore,1,16619,Medium,249285000
JavaScript,Singapore,1,16619,Medium,249285000
AWS,Singapore,1,16619,Medium,249285000
C++,Singapore,1,16619,Medium,249285000
MongoDB,Singapore,1,16619,Medium,249285000
Express.js,Singapore,1,16619,Medium,249285000
Git,Singapore,1,16619,Medium,249285000
Azure,Singapore,1,16619,Medium,249285000
React,Thailand,13,16262,Medium,243930000
Java,Thailand,13,16262,Medium,243930000
Azure,Thailand,13,16262,Medium,243930000
Spring Boot,Thailand,13,16262,Medium,243930000
Azure,Malaysia,5,38400,Medium,576000000
Express.js,Malaysia,5,38400,Medium,576000000
Spring Boot,Malaysia,5,38400,Medium,576000000
PHP,Malaysia,5,38400,Medium,576000000
AWS,Malaysia,5,38400,Medium,576000000
Vue.js,Malaysia,5,38400,Medium,576000000
Laravel,Malaysia,5,38400,Medium,576000000
Java,Malaysia,5,38400,Medium,576000000
Spring Boot,Indonesia,5,71651,Large,1074765000
Git,Indonesia,5,71651,Large,1074765000
Azure,Indonesia,5,71651,Large,1074765000
Node.js,Indonesia,5,71651,Large,1074765000
Django,Indonesia,5,71651,Large,1074765000
Laravel,Indonesia,5,71651,Large,1074765000
MySQL,Indonesia,5,71651,Large,1074765000
JavaScript,Indonesia,5,71651,Large,1074765000
Spring Boot,Indonesia,12,99976,Medium,1499640000
Angular,Indonesia,12,99976,Medium,1499640000
AWS,Indonesia,12,99976,Medium,1499640000
Docker,Indonesia,12,99976,Medium,1499640000
Java,Indonesia,6,107617,Small,1614255000
Python,Indonesia,6,107617,Small,1614255000
MongoDB,Indonesia,6,107617,Small,1614255000
AWS,Indonesia,6,107617,Small,1614255000
React,Indonesia,6,107617,Small,1614255000
